CCLE_feature_id,TCGA_feature_id,Uppsala_feature_ids,Lambrechts,TRACERx_feature_id,HGNC symbol,Gene description
Tnfrsf12a,TNFRSF12A|51330,ENSG00000006327,TNFRSF12A,TNFRSF12A,TNFRSF12A,TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]
Prss3,PRSS3|5646,ENSG00000010438,PRSS3,PRSS3,PRSS3,serine protease 3 [Source:HGNC Symbol;Acc:HGNC:9486]
Plaur,PLAUR|5329,ENSG00000011422,PLAUR,PLAUR,PLAUR,"plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]"
Serpinb1,SERPINB1|1992,ENSG00000021355,SERPINB1,SERPINB1,SERPINB1,serpin family B member 1 [Source:HGNC Symbol;Acc:HGNC:3311]
Arntl2,ARNTL2|56938,ENSG00000029153,ARNTL2,ARNTL2,ARNTL2,aryl hydrocarbon receptor nuclear translocator like 2 [Source:HGNC Symbol;Acc:HGNC:18984]
Foxc1,FOXC1|2296,ENSG00000054598,FOXC1,FOXC1,FOXC1,forkhead box C1 [Source:HGNC Symbol;Acc:HGNC:3800]
Slc2a3,SLC2A3|6515,ENSG00000059804,SLC2A3,SLC2A3,SLC2A3,solute carrier family 2 member 3 [Source:HGNC Symbol;Acc:HGNC:11007]
Fam107b,FAM107B|83641,ENSG00000065809,FAM107B,FAM107B,FAM107B,family with sequence similarity 107 member B [Source:HGNC Symbol;Acc:HGNC:23726]
Klf6,KLF6|1316,ENSG00000067082,KLF6,KLF6,KLF6,Kruppel like factor 6 [Source:HGNC Symbol;Acc:HGNC:2235]
Mast4,MAST4|375449,ENSG00000069020,MAST4,MAST4,MAST4,microtubule associated serine/threonine kinase family member 4 [Source:HGNC Symbol;Acc:HGNC:19037]
Cxcl2,CXCL2|2920,ENSG00000081041,CXCL2,CXCL2,CXCL2,C-X-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:4603]
Ppp1r15a,PPP1R15A|23645,ENSG00000087074,PPP1R15A,PPP1R15A,PPP1R15A,protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]
Itpr3,ITPR3|3710,ENSG00000096433,ITPR3,ITPR3,ITPR3,"inositol 1,4,5-trisphosphate receptor type 3 [Source:HGNC Symbol;Acc:HGNC:6182]"
Jag1,JAG1|182,ENSG00000101384,JAG1,JAG1,JAG1,jagged canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:6188]
Has3,HAS3|3038,ENSG00000103044,HAS3,HAS3,HAS3,hyaluronan synthase 3 [Source:HGNC Symbol;Acc:HGNC:4820]
Ndrg1,NDRG1|10397,ENSG00000104419,NDRG1,NDRG1,NDRG1,N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]
Tnfrsf10a,TNFRSF10A|8797,ENSG00000104689,TNFRSF10A,TNFRSF10A,TNFRSF10A,TNF receptor superfamily member 10a [Source:HGNC Symbol;Acc:HGNC:11904]
Kcnn4,KCNN4|3783,ENSG00000104783,KCNN4,KCNN4,KCNN4,potassium calcium-activated channel subfamily N member 4 [Source:HGNC Symbol;Acc:HGNC:6293]
